Working,Lazy,time
55,55,1161.457
56,54,1163.51
50,60,1165.517
52,57,1167.555
42,67,1169.57
44,63,1171.58
47,60,1173.589
44,63,1175.594
49,58,1177.61
43,64,1179.632
51,56,1181.685
51,56,1183.734
43,64,1185.745
41,66,1187.753
42,65,1189.756
58,48,1191.771
52,54,1193.8
47,59,1195.831
52,54,1197.838
46,60,1199.885
40,65,1201.89
45,60,1203.936
44,61,1205.963
49,56,1207.985
46,59,1210.033
47,57,1212.089
42,62,1214.116
56,47,1216.152
50,53,1218.168
48,55,1220.214
49,55,1222.268
46,59,1224.303
58,47,1226.344
58,47,1228.375
53,53,1230.423
56,50,1232.432
53,55,1234.455
57,52,1236.465
56,53,1238.513
51,58,1240.562
58,52,1242.599
52,59,1244.633
60,52,1246.676
60,52,1248.699
53,59,1250.745
61,51,1252.776
58,54,1254.823
44,67,1256.846
42,69,1258.868
35,76,1260.894
52,59,1262.901
51,61,1264.906
44,68,1266.956
46,66,1268.976
46,67,1271.03
55,58,1273.04
48,65,1275.081
59,54,1277.119
62,51,1279.132
55,58,1281.171
42,71,1283.226
40,73,1285.274
56,57,1287.294
55,58,1289.34
48,66,1291.36
53,63,1293.419
48,69,1295.463
57,60,1297.499
57,60,1299.544
51,66,1301.596
54,64,1303.604
48,71,1305.659
52,67,1307.676
55,64,1309.72
61,58,1311.744
60,59,1313.789
49,70,1315.864
60,59,1317.889
53,66,1319.939
53,65,1321.952
53,66,1324.011
48,72,1326.031
52,66,1328.052
52,67,1330.101
49,69,1332.109
52,66,1334.145
46,72,1336.182
56,62,1338.189
54,64,1340.205
50,69,1342.209
49,70,1344.212
51,68,1346.231
60,59,1348.258
54,65,1350.264
54,65,1352.273
53,66,1354.312
44,75,1356.323
59,61,1358.344
54,66,1360.356
53,67,1362.397
56,64,1364.426
51,69,1366.472
58,61,1368.477
49,70,1370.483
52,68,1372.516
53,67,1374.538
49,71,1376.588
56,64,1378.644
52,68,1380.689
55,65,1382.739
55,66,1384.787
46,75,1386.823
52,69,1388.863
50,71,1390.915
49,71,1392.968
50,70,1395.013
